Café,1050,Acrylic Color Artes,52,47,47,#342F2F
Flesh,1051,Acrylic Color Artes,208,121,87,#D07957
Light Brown,1052,Acrylic Color Artes,195,83,60,#C3533C
Medium Brown,1053,Acrylic Color Artes,59,48,49,#3B3031
Dark Brown,1054,Acrylic Color Artes,51,38,39,#332627
Black Brown,1055,Acrylic Color Artes,31,36,45,#1F242D
Old Rose,1056,Acrylic Color Artes,174,124,125,#AE7C7D
Azul Jeans,1057,Acrylic Color Artes,39,46,102,#272E66
Azul Claro,1058,Acrylic Color Artes,95,197,241,#5FC5F1
Verde Militar,1059,Acrylic Color Artes,31,79,77,#1F4F4D
Rosa Escuro,1060,Acrylic Color Artes,227,64,113,#E34071
Rosa Claro,1061,Acrylic Color Artes,227,101,139,#E3658B
Vermelho Itália I,1062,Acrylic Color Artes,214,28,13,#D61C0D
Vermelho Itália II,1063,Acrylic Color Artes,192,42,37,#C02A25
Vermelho Itália III,1064,Acrylic Color Artes,134,38,40,#862628
Amarelo Claro,1065,Acrylic Color Artes,251,237,75,#FBED4B
Azul Escuro,1066,Acrylic Color Artes,46,63,97,#2E3F61
Turquesa Claro,1067,Acrylic Color Artes,39,176,166,#27B0A6
Lima,1068,Acrylic Color Artes,215,217,25,#D7D919
Verde Brasil,1069,Acrylic Color Artes,0,115,74,#00734A
Verde Oliva,1070,Acrylic Color Artes,85,110,53,#556E35
Branco Metálico,400,Acrylic Color Artes Metallic,223,227,232,#DFE3E8
Amarelo Metálico,409,Acrylic Color Artes Metallic,237,207,34,#EDCF22
Laranja Metálico,410,Acrylic Color Artes Metallic,195,142,74,#C38E4A
Magenta Metálico,411,Acrylic Color Artes Metallic,204,46,129,#CC2E81
Ouro Rose Metálico,412,Acrylic Color Artes Metallic,200,112,107,#C8706B
Azul Claro Metálico,413,Acrylic Color Artes Metallic,74,141,155,#4A8D9B
Azul Forte Metálico,414,Acrylic Color Artes Metallic,41,95,159,#295F9F
Verde Metálico,415,Acrylic Color Artes Metallic,26,100,92,#1A645C
Verde Turquesa Metálico,416,Acrylic Color Artes Metallic,103,163,154,#67A39A
Roxo Metálico,417,Acrylic Color Artes Metallic,146,114,160,#9272A0
Champanhe Metálico,418,Acrylic Color Artes Metallic,225,220,211,#E1DCD3
Cobre Alaranjado Metálico,419,Acrylic Color Artes Metallic,170,130,62,#AA823E
Vermelho Metálico,425,Acrylic Color Artes Metallic,229,40,38,#E52826
Golden Green Metálico,427,Acrylic Color Artes Metallic,139,158,69,#8B9E45
Amarelo,3000,Speed,255,243,42,#FFF32A
Amarelo Gema,C3001,Speed,255,203,4,#FFCB04
Magenta,C3002,Speed,204,46,129,#CC2E81
Vermelho,C3003,Speed,237,28,36,#ED1C24
Turquesa,C3004,Speed,86,165,191,#56A5BF
Azul Phthalo,C3005,Speed,11,32,100,#0B2064
Violeta,C3006,Speed,44,13,84,#2C0D54
Verde,C3007,Speed,26,100,92,#1A645C
Preto,C3008,Speed,0,0,0,#000000
